new entry "Target_S7_Config_Inspect"
type "SkillData"
data "SkillType" "Target"
data "ActionPoints" "0"
data "Cooldown" "0"
data "TargetRadius" "20"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "Icon" "Item_TOOL_IdentifyingGlass_A"
data "DisplayName" "Target_S7_Config_Inspect_DisplayName"
data "DisplayNameRef" "Inspect"
data "Description" "Target_S7_Config_Inspect_Description"
data "DescriptionRef" "Inspect the target. Prints statsIDs to the Debug-Console."
data "StatsDescription" "Target_S7_Config_Inspect_StatsDescription"
data "StatsDescriptionRef" "Prints to the Debug-Console."
data "IgnoreVisionBlock" "Yes"
data "Stealth" "Yes"

